职位名称,公司名称,公司类型,公司规模,薪酬,学历,工作经验,是否全职,职位页面,岗位职责
Python开发工程师,上海安秉信息技术有限公司,民营,500-999人,4K-6K,大专,不限,全职,https://jobs.zhaopin.com/CZ784983780J00324805203.htm,"1. 承担公司金融项目交易平台系统平台的架构研发，测试，维护；2. 负责详细设计文档编写，需求对接等；3. 根据公司技术架构，从事前沿技术研究。任职要求：1. 大专及以上学历，计算机及相关专业，1年及以上工作经验；2. 熟悉数据库，mysql,等；3. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。"
python工程师,上海煜喜环保科技有限公司,不限,100-499人,8K-10K,大专,不限,全职,https://jobs.zhaopin.com/CZ714068380J00148506807.htm,"岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.专科以上学历；2了解使用 Python 及 Linux环境，Redis、MySQL数据；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；"
初级Python开发工程师,上海煜喜环保科技有限公司,不限,100-499人,6K-8K,大专,不限,全职,https://jobs.zhaopin.com/CZ714068380J00123696607.htm,"岗位职责：1.负责公司自动化数据处理平台的开发工作2.负责客户现场系统的数据抓取需求开发工作3.跟进处理测试人员或实施人员的问题反馈任职要求:1.大专及以上学历,计算机/IT信息/数学等或相关专业毕业2.具备Python的基础知识，特别优秀应届生可不做工作年限要求3.了解Python的安装，与Python包的安装命令行4.了解数据库的基础知识，会简单的增删改查5.具备面向对象的基础知识，了解软件的开发过程6.要求具备一定的自我学习能力福利待遇：1.签订正式劳动合同、享受国家规定的保险福利待遇；2.五险一金，双休，年底分红；3.定期旅游，超长年假；4.良好的晋升机制，广阔的晋升空间；5.八小时工作制，无加班，无夜班；6.丰富的企业文化，愉悦的工作氛围"
python开发助理,上海安秉信息技术有限公司,民营,500-999人,8K-10K,大专,不限,全职,https://jobs.zhaopin.com/CZ784983780J00324836203.htm,"1、Python开发为主，负责基于Java架构的运营商系统架构分析、设计，配合技术团队完成产品研发；2、参与制定设计及实现规范，指导设计、实现及部署工作；4、配合进行技术决策，进行技术风险评估；5、协助其他工程师解决关键问题；任职要求：1、大专及以上学历，计算机科学与技术、网络工程、信息系统与管理等计算机相关专业，应届生优先；2、熟练运用计算机基本操作，有责任感，团队意识强，有较好的学习能力者；3、协助工程师对项目的研发、手机App以及项目网站的开发；4、有良好的团队合作精神和严谨工作态度；5、了解基本编程语言。"
python开发工程师（上海）,深圳市前海谷雨网络科技有限公司,民营,20-99人,10K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/544024686250049.htm,"岗位职责：1、主要负责公司内运营系统的开发, 包括线上系统和线下系统；2、参与项目的架构编码, 明确负责开发部分的设计需求；3、按照设计要求和源代码编写规范以及框架设计规范进行编码, 对其质量、性能负责；4、编写相关技术文档, 负责进行开发阶段的软件测试, 包括: 单元测试、 集成测试；5、产品上线后, 配合运维、测试团队保障运营平台的稳定, 并解决相关技术/性能问题。任职要求：1、熟悉Linux系统操作,熟悉Python语言开发,了解常用的Python开发框架,例如:twisted,tornado,gevent等；2、熟悉业务后台系统开发,了解后台系统的架构和开发规范、标准优先考虑；3、了解Web前端开发相关技术,包括HTML,Javascript,CSS,有过相关前端开发框架使用经验者优先考虑；4、熟悉MySQL数据库,了解NoSQL的优先考虑；5、熟悉常用的数据结构和算法,熟悉软件开发流程,具备独立开发调试、测试和部署能力；6、具有良好的沟通能力、团队合作能力和创新精神，具备较好的文档创作能力；7、能承受一定的工作压力。"
Python开发工程师（双休）,上海露善文化传播有限公司,民营,100-499人,8K-10K,大专,不限,全职,https://jobs.zhaopin.com/CC872325800J00349251105.htm,"岗位职责：1. 承担公司金融项目交易平台系统平台的架构研发，测试，维护；2. 负责详细设计文档编写，需求对接等；3. 根据公司技术架构，从事前沿技术研究。任职要求：1. 计算机及相关专业，1年及以上工作经验；2. 扎实的编程基础，掌握python；熟悉数据库，mysql,等；3. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。"
Python开发工程师,北京金色华勤数据服务有限公司,民营,100-499人,10K-20K,本科,不限,全职,https://jobs.zhaopin.com/428715824251194.htm,"岗位职责：1、负责Python软件、服务器程序、网站后台设计，相关算法研发和优化；2、参与应用设计与方案讨论；3、负责实现软件、应用程序代码，建立和完善开发文档；4、协助对所开发的功能进行测试，协助产品部署。任职要求：1、熟练掌握Python的使用，有一定的python web开发经验，熟悉Tornado优先；2、至少会使用一种数据库技术，如Oracle、SQL Sever、Mysql、PostgreSQL等；3、熟悉Bootstrap、Node.js、.NET、Linux Shell优先；4、有良好的编程习惯，沟通能力强，能够独自编写技术文档；5、具备较好的学习能力、问题分析能力，可以独立调试解决问题；6、良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力"
Python开发工程师,重庆软维科技有限公司,民营,100-499人,10K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/CC447211938J00303343002.htm,"掌握Pyhton的web开发技术，熟练掌握Django框架技术；相关工作经验 1-2年；沟通能力强，愿意驻场工作"
Python 算法工程师,上海博佳医药科技有限公司,民营,20-99人,8K-12K,本科,不限,全职,https://jobs.zhaopin.com/CC184741610J00260523202.htm,"岗位职责：根据项目要求完成DASStudio算法模块设计、开发、测试详细深入的掌握所承担项目的需求分析和设计报告结合自身所掌握的编程技术，提出初步解决方案，编写技术文档参与团队建设，对团队和其他成员提供培训和技术支持任职要求：数学与计算科学，统计，机器学习及相关专业本科以上学历数学基础扎实，熟悉数值计算，优化有一定的Python，有SciPy, NumPy,Pandas使用经验会使用代码管理工具（SVN/Git），有SVN使用经验优先英语四级有软件项目开发或机器学习经验优先具有清晰的逻辑思维，良好的沟通协调能力和语言表达能力，工作积极主动，踏实负责，抗压能力强，学习能力强吃苦耐劳，能够接受一定程度的加班情况"
Python工程师,上海榕智市场营销策划股份有限公司,股份制企业,100-499人,13K-17K,本科,3-5年,全职,https://jobs.zhaopin.com/CC421893312J00274721704.htm,"岗位要求：1. 3年及以上Python开发经验，熟练Flask，Django的基本使用；(了解C或C++更佳)2. 熟练使用Linux环境，熟练掌握awk，ps，find，vim等命令的基本用法；（管道，重定向和后台任务为加分项）3. 熟练掌握数据组件：Redis，MySQL；（Elasticsearch为加分项）4. 能够独立搭建nginx+uwsgi服务器；5. 重视编码规范，并有自己的见解；6. 具备良好的分析问题能力，能独立承担任务并对进度有把控能力；"
初级Python开发工程师,上海煜喜环保科技有限公司,不限,100-499人,6K-8K,大专,不限,全职,https://jobs.zhaopin.com/CZ714068380J00124285207.htm,"岗位要求：1.大专及以上学历，软件工程，计算机软件，计算机科学与技术相关专业。2.了解熟悉python语言优先。3.了解linux环境优先。福利待遇：1、假期福利：八小时工作制+周末双休+依法享有法定节假日；2、贴心服务：下午茶+每周零食福利；3、节日气氛：大小节日礼品或购物卡；4、学习机会：公司内部培训python语言等知识。"
